41
STAGGERED VERTICAL LAYERING ON  62 MOMENTUM HYBRID LEVELS WITH Grd_rcoef=    0.00  16.00:
  level          HYB        ~HEIGHTS     ~DELTA_Z       IP1
    1         1.5761E-01      12839.        473.      94529450
    2         1.6870E-01      12366.        473.      94540540
    3         1.8058E-01      11893.        473.      94552420
    4         1.9329E-01      11421.        473.      94565130
    5         2.0690E-01      10948.        472.      94578740
    6         2.2143E-01      10476.        470.      94593270
    7         2.3692E-01      10006.        466.      94608760
    8         2.5336E-01       9540.        462.      94625200
    9         2.7077E-01       9078.        457.      94642610
   10         2.8916E-01       8622.        450.      94661000
   11         3.0851E-01       8172.        442.      94680350
   12         3.2879E-01       7729.        434.      94700630
   13         3.4999E-01       7295.        425.      94721830
   14         3.7207E-01       6870.        415.      94743910
   15         3.9497E-01       6455.        404.      94766810
   16         4.1864E-01       6051.        393.      94790480
   17         4.4301E-01       5657.        381.      94814850
   18         4.6800E-01       5276.        369.      94839840
   19         4.9355E-01       4907.        357.      94865390
   20         5.1956E-01       4550.        345.      94891400
   21         5.4597E-01       4205.        332.      94917810
   22         5.7267E-01       3874.        319.      94944510
   23         5.9957E-01       3555.        306.      94971410
   24         6.2660E-01       3248.        294.      94998440
   25         6.5364E-01       2955.        281.      95025480
   26         6.8063E-01       2673.        269.      95052470
   27         7.0746E-01       2405.        256.      95079300
   28         7.3405E-01       2148.        245.      95105890
   29         7.6035E-01       1904.        233.      95132190
   30         7.8624E-01       1671.        221.      95158080
   31         8.1168E-01       1450.        209.      95183520
   32         8.3647E-01       1241.        195.      95208310
   33         8.6028E-01       1046.        180.      95232120
   34         8.8284E-01        866.        164.      95254680
   35         9.0396E-01        702.        149.      95275800
   36         9.2351E-01        553.        133.      95295350
   37         9.4140E-01        420.        119.      95313240
   38         9.5760E-01        301.        105.      95329440
   39         9.7214E-01        196.         92.      95343980
   40         9.8510E-01        104.         69.      95356940
   41         9.9500E-01         35.         35.      95366840
