62
STAGGERED VERTICAL LAYERING ON  62 MOMENTUM HYBRID LEVELS WITH Grd_rcoef=    0.00  16.00:
  level          HYB        ~HEIGHTS     ~DELTA_Z       IP1
    1         1.6824E-03      44385.       4127.      96637232
    2         3.0468E-03      40258.       4127.      96773672
    3         5.5177E-03      36132.       4127.      97020762
    4         9.9925E-03      32005.       4127.      97468242
    5         1.8096E-02      27879.       3177.      95601376
    6         2.8585E-02      24702.       2339.      95706266
    7         4.0027E-02      22362.       1687.      95820686
    8         5.1027E-02      20675.       1200.      95930686
    9         6.0642E-02      19476.        844.      96026836
   10         6.8471E-02      18632.        589.      96105126
   11         7.4526E-02      18043.        477.      96165676
   12         7.9820E-02      17566.        473.      96218616
   13         8.5440E-02      17093.        473.      96274816
   14         9.1454E-02      16621.        473.      96334956
   15         9.7892E-02      16148.        472.      96399336
   16         1.0478E-01      15676.        473.      94476620
   17         1.1216E-01      15203.        473.      94484000
   18         1.2006E-01      14730.        473.      94491900
   19         1.2851E-01      14257.        473.      94500350
   20         1.3756E-01      13784.        473.      94509400
   21         1.4724E-01      13312.        473.      94519080
   22         1.5761E-01      12839.        473.      94529450
   23         1.6870E-01      12366.        473.      94540540
   24         1.8058E-01      11893.        473.      94552420
   25         1.9329E-01      11421.        473.      94565130
   26         2.0690E-01      10948.        472.      94578740
   27         2.2143E-01      10476.        470.      94593270
   28         2.3692E-01      10006.        466.      94608760
   29         2.5336E-01       9540.        462.      94625200
   30         2.7077E-01       9078.        457.      94642610
   31         2.8916E-01       8622.        450.      94661000
   32         3.0851E-01       8172.        442.      94680350
   33         3.2879E-01       7729.        434.      94700630
   34         3.4999E-01       7295.        425.      94721830
   35         3.7207E-01       6870.        415.      94743910
   36         3.9497E-01       6455.        404.      94766810
   37         4.1864E-01       6051.        393.      94790480
   38         4.4301E-01       5657.        381.      94814850
   39         4.6800E-01       5276.        369.      94839840
   40         4.9355E-01       4907.        357.      94865390
   41         5.1956E-01       4550.        345.      94891400
   42         5.4597E-01       4205.        332.      94917810
   43         5.7267E-01       3874.        319.      94944510
   44         5.9957E-01       3555.        306.      94971410
   45         6.2660E-01       3248.        294.      94998440
   46         6.5364E-01       2955.        281.      95025480
   47         6.8063E-01       2673.        269.      95052470
   48         7.0746E-01       2405.        256.      95079300
   49         7.3405E-01       2148.        245.      95105890
   50         7.6035E-01       1904.        233.      95132190
   51         7.8624E-01       1671.        221.      95158080
   52         8.1168E-01       1450.        209.      95183520
   53         8.3647E-01       1241.        195.      95208310
   54         8.6028E-01       1046.        180.      95232120
   55         8.8284E-01        866.        164.      95254680
   56         9.0396E-01        702.        149.      95275800
   57         9.2351E-01        553.        133.      95295350
   58         9.4140E-01        420.        119.      95313240
   59         9.5760E-01        301.        105.      95329440
   60         9.7214E-01        196.         92.      95343980
   61         9.8510E-01        104.         69.      95356940
   62         9.9500E-01         35.         35.      95366840
